Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,F1-Score(1),Precision(1),Recall(1),F1-Score(0),Precision(0),Recall(0),F2-Score(1)
CatBoost,Original,Tuned,0.65,0.8820357742341586,0.8222160200948926,0.6701191092698084,0.8850889192886456,0.5391666666666667,0.8783190066857689,0.8061009817671809,0.9647503147293328,0.5848851925510757
MLPClassifier,Original,Baseline,0.35,0.834931458945307,0.7485347474183645,0.6712878511492156,0.5970149253731343,0.7666666666666667,0.7963841807909604,0.8628795298726738,0.7394041124632815,0.7254376281343636
MLPClassifier,Original,Baseline,0.4,0.834931458945307,0.7596985766117779,0.6747261050245561,0.6171389080856945,0.7441666666666666,0.8094711219296304,0.8562734082397003,0.7675199328577423,0.7147430766768048
MLPClassifier,Original,Baseline,0.45,0.834931458945307,0.7708624058051912,0.6794221007418977,0.639235855988244,0.725,0.8217155266015201,0.8514851485148515,0.7939571968107427,0.7060542119785749
MLPClassifier,Original,Baseline,0.5,0.834931458945307,0.7786770862405805,0.6826730692276911,0.6566589684372595,0.7108333333333333,0.83008356545961,0.8480735551663747,0.8128409567771716,0.6992949663879324
MLPClassifier,Original,Baseline,0.55,0.834931458945307,0.7778397990510745,0.6735028712059065,0.6631663974151858,0.6841666666666667,0.8316412859560067,0.8383795309168444,0.8250104909777591,0.6798608810864525
MLPClassifier,Original,Baseline,0.6,0.834931458945307,0.7867708624058052,0.6735042735042736,0.6912280701754386,0.6566666666666666,0.8416908412764194,0.8313548915268113,0.8522870331514897,0.6632996632996633
MLPClassifier,Original,Baseline,0.65,0.834931458945307,0.7856544794864638,0.6616740088105727,0.7018691588785047,0.6258333333333334,0.8431372549019608,0.8213290887385595,0.8661351237935375,0.6396933560477002
MLPClassifier,Original,Tuned,0.35,0.8398202545810602,0.7622104381802959,0.6762917933130699,0.6215083798882681,0.7416666666666667,0.812086457873842,0.8558809855880986,0.7725556021821234,0.7140564826700898
MLPClassifier,Original,Tuned,0.4,0.8398202545810602,0.7725369801842031,0.6762018275725069,0.6461655277145026,0.7091666666666666,0.8246934824693483,0.8459841129744042,0.80444817456987,0.6956024194866764
MLPClassifier,Original,Tuned,0.45,0.8398202545810602,0.7795143734300866,0.6746293245469522,0.6669381107491856,0.6825,0.8332629801604052,0.8382165605095542,0.8283676038606799,0.679329794293298
MLPClassifier,Original,Tuned,0.5,0.8398202545810602,0.7837008093776165,0.6697912228376651,0.6852659110723627,0.655,0.8391782527495331,0.8300492610837439,0.8485102811582039,0.6608373970068943
